scope,role,policy_id,vector_hash,budget_group,display_role,borough,category,sla_days_mean,inspection_fraction_mean,sla_days_std,inspection_fraction_std,n_evaluations,sla_days_sem,inspection_fraction_sem
mean_across_authenticated_inference_seeds_321_345,borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Queens,Hazard,1.4,0.9948453854895628,0.49999999999999994,0.0012517132799433146,25,0.09999999999999999,0.00025034265598866294
mean_across_authenticated_inference_seeds_321_345,borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Queens,Illegal Tree Damage,0.0,0.9964879564879564,0.0,0.0007950647065418495,25,0.0,0.0001590129413083699
mean_across_authenticated_inference_seeds_321_345,borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Queens,Other,0.0,0.9933747412008281,0.0,0.0024642610174405916,25,0.0,0.0004928522034881183
mean_across_authenticated_inference_seeds_321_345,borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Queens,Prune,16.4,0.07191705413927632,0.7071067811865476,0.004072692834013091,25,0.1414213562373095,0.0008145385668026183
mean_across_authenticated_inference_seeds_321_345,borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Queens,Remove Tree,2.0,0.7644588235294116,0.0,0.003566533852227164,25,0.0,0.0007133067704454329
mean_across_authenticated_inference_seeds_321_345,borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Queens,Root/Sewer/Sidewalk,20.4,0.10842899611250853,0.9574271077563382,0.005973447671039709,25,0.19148542155126763,0.0011946895342079419
mean_across_authenticated_inference_seeds_321_345,borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Staten Island,Hazard,1.0,0.9916767676767677,0.0,0.0012627503040257867,25,0.0,0.00025255006080515734
mean_across_authenticated_inference_seeds_321_345,borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Staten Island,Illegal Tree Damage,0.0,0.9959595959595959,0.0,0.0015429547794464466,25,0.0,0.00030859095588928935
mean_across_authenticated_inference_seeds_321_345,borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Staten Island,Other,0.0,0.9905220883534136,0.0,0.008895982717984533,25,0.0,0.0017791965435969067
mean_across_authenticated_inference_seeds_321_345,borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Staten Island,Prune,12.64,0.12337485467530307,2.0591260281974,0.005758693298986405,25,0.41182520563948,0.0011517386597972809
mean_across_authenticated_inference_seeds_321_345,borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Staten Island,Remove Tree,5.44,0.8159654178674351,0.5066228051190221,0.009543584289722245,25,0.10132456102380442,0.001908716857944449
mean_across_authenticated_inference_seeds_321_345,borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Staten Island,Root/Sewer/Sidewalk,17.9,0.18076248313090415,2.9011491975882016,0.007764837047144765,25,0.5802298395176403,0.001552967409428953
mean_across_authenticated_inference_seeds_321_345,borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Bronx,Hazard,0.0,0.9517284925019731,0.0,0.004732623035216455,25,0.0,0.000946524607043291
mean_across_authenticated_inference_seeds_321_345,borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Bronx,Illegal Tree Damage,0.0,0.9921760391198045,0.0,0.002478713337529812,25,0.0,0.0004957426675059624
mean_across_authenticated_inference_seeds_321_345,borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Bronx,Other,0.0,0.9996444444444443,0.0,0.0012306109426544727,25,0.0,0.00024612218853089455
mean_across_authenticated_inference_seeds_321_345,borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Bronx,Prune,12.62,0.11476658476658472,0.9273618495495701,0.0065381606192545265,25,0.18547236990991403,0.0013076321238509052
