calendar_year,random_seed,display_role,policy_id,vector_hash,efficiency_loss,equity_loss,historical_efficiency_loss,historical_equity_loss,efficiency_ratio_historical,equity_ratio_historical
2019,321,most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,13159234.666666664,933.3863076961936,16419478,1160.1949292345921,0.80144050052423499,0.80450817718361389
2019,322,most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,13013759.999999998,959.5222365244875,16419478,1160.1949292345921,0.79258061675285885,0.82703536478780071
2019,323,most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,13039981.333333332,972.6205755754635,16419478,1160.1949292345921,0.79417758185329235,0.83832513922218588
2019,324,most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,13182592.0,966.4017314856537,16419478,1160.1949292345921,0.80286303864227593,0.8329649674673304
2019,325,most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,13086928.66666667,961.3716145085075,16419478,1160.1949292345921,0.79703682825158451,0.82862938828973076
2019,326,most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,13061816.666666668,952.7142690321626,16419478,1160.1949292345921,0.79550742518529927,0.8211674133593142
2019,327,most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,13065597.999999998,940.1678738157887,16419478,1160.1949292345921,0.79573772077285276,0.81035337263199336
2019,328,most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,13178551.333333334,998.8725353311232,16419478,1160.1949292345921,0.80261694880515289,0.86095233668199445
2019,329,most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,13176903.333333332,959.5376061497069,16419478,1160.1949292345921,0.80251658020634586,0.82704861223857995
2019,330,most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,13085649.333333334,993.5859854794064,16419478,1160.1949292345921,0.79695891266052021,0.85639573182318462
