Borough,fraction_of_2019_requests,historical_eventual_inspection_share,borough_most_efficient_budget_share,borough_most_equitable_budget_share,balanced_budget_share
Bronx,0.10005860727795833,0.11581696817258393,0.09296491327587118,0.11105011357434127,0.09159239337747935
Brooklyn,0.29880387873621395,0.2949985489020025,0.3223422558845908,0.3416309626311456,0.3103773295251716
Manhattan,0.07344557515051414,0.07203250459514365,0.07539833891648613,0.0822725862471489,0.09087765933246819
Queens,0.39964835633225,0.39636258101963817,0.37958767350882605,0.35432917809563647,0.3857913456860369
Staten Island,0.12804358250306355,0.12078939731063171,0.1297068184142259,0.11071715945172791,0.12136127207884397
