role,policy_id,vector_hash,budget_group,display_role,paper_role,borough,category,borough_budget_share,inspection_priority_weight,per_review_retention_probability
borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Balanced,Queens,Root/Sewer/Sidewalk,0.3857913456860369,0.00023372290445134792,0.2257924416873548
borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Balanced,Staten Island,Hazard,0.12136127207884397,0.4308587705214009,0.8847599309874169
borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Balanced,Staten Island,Illegal Tree Damage,0.12136127207884397,0.18056785020020485,0.3623602252153528
borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Balanced,Staten Island,Other,0.12136127207884397,0.27856932401769163,0.2969721076560083
borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Balanced,Staten Island,Prune,0.12136127207884397,0.00021898559626109442,0.2217739177878176
borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Balanced,Staten Island,Remove Tree,0.12136127207884397,0.10956608406818028,0.3259862538031206
borough_balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,borough,balanced,Balanced,Staten Island,Root/Sewer/Sidewalk,0.12136127207884397,0.00021898559626109442,0.3052006640105276
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Bronx,Hazard,0.09296491327587118,0.4500918286351408,0.1
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Bronx,Illegal Tree Damage,0.09296491327587118,0.16127356646090982,0.6866123024830458
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Bronx,Other,0.09296491327587118,0.31835166884466437,0.416228819613761
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Bronx,Prune,0.09296491327587118,0.0002250459143175704,0.1
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Bronx,Remove Tree,0.09296491327587118,0.06983284423064952,0.3478910598773803
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Bronx,Root/Sewer/Sidewalk,0.09296491327587118,0.0002250459143175704,0.1
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Brooklyn,Hazard,0.3223422558845908,0.24425184092490182,0.1
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Brooklyn,Illegal Tree Damage,0.3223422558845908,0.44472483471833046,0.37996085300772475
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Brooklyn,Other,0.3223422558845908,0.2588670409536911,0.7806037300612615
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Brooklyn,Prune,0.3223422558845908,0.00022236241735916525,0.1
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Brooklyn,Remove Tree,0.3223422558845908,0.051711558568358094,0.54248633220859
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Brooklyn,Root/Sewer/Sidewalk,0.3223422558845908,0.00022236241735916525,0.11874385461084244
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Manhattan,Hazard,0.07539833891648613,0.2689213820326469,0.523110163699869
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Manhattan,Illegal Tree Damage,0.07539833891648613,0.21239238735953914,0.9378558041776802
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Manhattan,Other,0.07539833891648613,0.10325818803633931,1.0
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Manhattan,Prune,0.07539833891648613,0.00019714555674117407,0.20486260555859215
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Manhattan,Remove Tree,0.07539833891648613,0.07357989712897288,0.2793151069229393
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Manhattan,Root/Sewer/Sidewalk,0.07539833891648613,0.3416509998857606,0.4568336277292696
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Queens,Hazard,0.37958767350882605,0.4786567512343829,1.0
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Queens,Illegal Tree Damage,0.37958767350882605,0.2514989012976267,0.2468360426332029
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Queens,Other,0.37958767350882605,0.08580065852620287,0.24274162277858602
