year,Bronx,Brooklyn,Manhattan,Queens,Staten Island
2019,7512,22433,5514,30004,9613
2020,13024,40385,8420,61471,15784
2021,8161,23759,5415,33967,11079
2022,7044,22969,5004,31627,10156
