year,Bronx,Brooklyn,Manhattan,Queens,Staten Island
2019,5636,13304,3907,19509,5984
2020,9243,31979,6654,44951,9390
2021,6736,14462,3993,23459,7571
2022,4611,14451,3119,24100,5695
