year,Bronx,Brooklyn,Manhattan,Queens,Staten Island
2019,5878,14641,4411,20225,6454
2020,9406,32933,6874,45436,9419
2021,6977,15614,4257,23697,8304
2022,4653,16132,3285,24321,5701
