d100_setting_id,d200_setting_id,policy_role,budget_group,display_role,Borough,Category,d100_source_policy_id,d100_vector_hash,d100_n_inference_seeds,d100_realized_inspection_fraction,d200_source_policy_id,d200_vector_hash,d200_n_inference_seeds,d200_realized_inspection_fraction,inspection_fraction_change_d200_minus_d100,historical_inspection_fraction
d100_delay_median_cap1,d200_delay_median_cap1,borough_balanced,borough,balanced,Manhattan,Illegal Tree Damage,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,25,1.0,candidate_d200_delay_median_cap1_borough_5bef845f16596083,48abcb916310db600f357940ef294b771b23a40b579a4de92a33d2b36907865f,25,0.9864324550397323,-0.013567544960267686,0.4993726474278545
d100_delay_median_cap1,d200_delay_median_cap1,borough_balanced,borough,balanced,Manhattan,Other,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,25,1.0,candidate_d200_delay_median_cap1_borough_5bef845f16596083,48abcb916310db600f357940ef294b771b23a40b579a4de92a33d2b36907865f,25,0.999748427672956,-0.0002515723270439807,0.9245283018867924
d100_delay_median_cap1,d200_delay_median_cap1,borough_balanced,borough,balanced,Manhattan,Prune,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,25,0.27783492530002446,candidate_d200_delay_median_cap1_borough_5bef845f16596083,48abcb916310db600f357940ef294b771b23a40b579a4de92a33d2b36907865f,25,0.08960078373744791,-0.18823414156257656,0.861131520940485
d100_delay_median_cap1,d200_delay_median_cap1,borough_balanced,borough,balanced,Manhattan,Remove Tree,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,25,0.7899038676503466,candidate_d200_delay_median_cap1_borough_5bef845f16596083,48abcb916310db600f357940ef294b771b23a40b579a4de92a33d2b36907865f,25,0.8439883746926,0.05408450704225343,0.6284372904091214
d100_delay_median_cap1,d200_delay_median_cap1,borough_balanced,borough,balanced,Manhattan,Root/Sewer/Sidewalk,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,25,0.9856898656898657,candidate_d200_delay_median_cap1_borough_5bef845f16596083,48abcb916310db600f357940ef294b771b23a40b579a4de92a33d2b36907865f,25,0.22041514041514038,-0.7652747252747254,0.1538461538461538
d100_delay_median_cap1,d200_delay_median_cap1,borough_balanced,borough,balanced,Queens,Hazard,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,25,0.9948453854895628,candidate_d200_delay_median_cap1_borough_5bef845f16596083,48abcb916310db600f357940ef294b771b23a40b579a4de92a33d2b36907865f,25,0.9934529577127819,-0.0013924277767809468,0.842275255697111
d100_delay_median_cap1,d200_delay_median_cap1,borough_balanced,borough,balanced,Queens,Illegal Tree Damage,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,25,0.9964879564879564,candidate_d200_delay_median_cap1_borough_5bef845f16596083,48abcb916310db600f357940ef294b771b23a40b579a4de92a33d2b36907865f,25,0.9896503496503497,-0.006837606837606702,0.7257187257187258
d100_delay_median_cap1,d200_delay_median_cap1,borough_balanced,borough,balanced,Queens,Other,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,25,0.9933747412008281,candidate_d200_delay_median_cap1_borough_5bef845f16596083,48abcb916310db600f357940ef294b771b23a40b579a4de92a33d2b36907865f,25,0.9977639751552795,0.004389233954451344,0.8136645962732919
d100_delay_median_cap1,d200_delay_median_cap1,borough_balanced,borough,balanced,Queens,Prune,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,25,0.07191705413927632,candidate_d200_delay_median_cap1_borough_5bef845f16596083,48abcb916310db600f357940ef294b771b23a40b579a4de92a33d2b36907865f,25,0.05783549783549779,-0.014081556303778532,0.244668911335578
d100_delay_median_cap1,d200_delay_median_cap1,borough_balanced,borough,balanced,Queens,Remove Tree,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,25,0.7644588235294116,candidate_d200_delay_median_cap1_borough_5bef845f16596083,48abcb916310db600f357940ef294b771b23a40b579a4de92a33d2b36907865f,25,0.9104980392156863,0.14603921568627465,0.84
d100_delay_median_cap1,d200_delay_median_cap1,borough_balanced,borough,balanced,Queens,Root/Sewer/Sidewalk,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,25,0.10842899611250853,candidate_d200_delay_median_cap1_borough_5bef845f16596083,48abcb916310db600f357940ef294b771b23a40b579a4de92a33d2b36907865f,25,0.08737251314886801,-0.021056482963640516,0.6391493254058999
d100_delay_median_cap1,d200_delay_median_cap1,borough_balanced,borough,balanced,Staten Island,Hazard,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,25,0.9916767676767677,candidate_d200_delay_median_cap1_borough_5bef845f16596083,48abcb916310db600f357940ef294b771b23a40b579a4de92a33d2b36907865f,25,0.9699819245082402,-0.021694843168527544,0.6998405103668262
d100_delay_median_cap1,d200_delay_median_cap1,borough_balanced,borough,balanced,Staten Island,Illegal Tree Damage,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,25,0.9959595959595959,candidate_d200_delay_median_cap1_borough_5bef845f16596083,48abcb916310db600f357940ef294b771b23a40b579a4de92a33d2b36907865f,25,0.9984646464646465,0.0025050505050505656,0.5121212121212121
d100_delay_median_cap1,d200_delay_median_cap1,borough_balanced,borough,balanced,Staten Island,Other,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,25,0.9905220883534136,candidate_d200_delay_median_cap1_borough_5bef845f16596083,48abcb916310db600f357940ef294b771b23a40b579a4de92a33d2b36907865f,25,0.9921285140562248,0.0016064257028112205,0.7831325301204819
d100_delay_median_cap1,d200_delay_median_cap1,borough_balanced,borough,balanced,Staten Island,Prune,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,25,0.12337485467530307,candidate_d200_delay_median_cap1_borough_5bef845f16596083,48abcb916310db600f357940ef294b771b23a40b579a4de92a33d2b36907865f,25,0.0797541936555389,-0.04362066101976417,0.3766816143497757
d100_delay_median_cap1,d200_delay_median_cap1,borough_balanced,borough,balanced,Staten Island,Remove Tree,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,25,0.8159654178674351,candidate_d200_delay_median_cap1_borough_5bef845f16596083,48abcb916310db600f357940ef294b771b23a40b579a4de92a33d2b36907865f,25,0.8814473262888248,0.06548190842138968,0.8146013448607109
d100_delay_median_cap1,d200_delay_median_cap1,borough_balanced,borough,balanced,Staten Island,Root/Sewer/Sidewalk,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,25,0.18076248313090415,candidate_d200_delay_median_cap1_borough_5bef845f16596083,48abcb916310db600f357940ef294b771b23a40b579a4de92a33d2b36907865f,25,0.12566126855600537,-0.05510121457489878,0.6897773279352226
d100_delay_median_cap1,d200_delay_median_cap1,borough_most_efficient,borough,most_efficient,Bronx,Hazard,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,25,0.9517284925019731,candidate_d200_delay_median_cap1_borough_baba7ce105c151d8,9c8b7220c2ff73efa9211acecb1fbbb7373ba1b3b3f9ff761deac1ab41716a83,25,0.9996632465140752,0.04793475401210212,0.824388318863457
d100_delay_median_cap1,d200_delay_median_cap1,borough_most_efficient,borough,most_efficient,Bronx,Illegal Tree Damage,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,25,0.9921760391198045,candidate_d200_delay_median_cap1_borough_baba7ce105c151d8,9c8b7220c2ff73efa9211acecb1fbbb7373ba1b3b3f9ff761deac1ab41716a83,25,0.9522086389568052,-0.03996740016299927,0.8092909535452323
d100_delay_median_cap1,d200_delay_median_cap1,borough_most_efficient,borough,most_efficient,Bronx,Other,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,25,0.9996444444444443,candidate_d200_delay_median_cap1_borough_baba7ce105c151d8,9c8b7220c2ff73efa9211acecb1fbbb7373ba1b3b3f9ff761deac1ab41716a83,25,0.9998222222222222,0.0001777777777778322,0.9333333333333332
d100_delay_median_cap1,d200_delay_median_cap1,borough_most_efficient,borough,most_efficient,Bronx,Prune,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,25,0.11476658476658472,candidate_d200_delay_median_cap1_borough_baba7ce105c151d8,9c8b7220c2ff73efa9211acecb1fbbb7373ba1b3b3f9ff761deac1ab41716a83,25,0.10162162162162158,-0.013144963144963134,0.8538083538083538
d100_delay_median_cap1,d200_delay_median_cap1,borough_most_efficient,borough,most_efficient,Bronx,Remove Tree,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,25,0.821820652173913,candidate_d200_delay_median_cap1_borough_baba7ce105c151d8,9c8b7220c2ff73efa9211acecb1fbbb7373ba1b3b3f9ff761deac1ab41716a83,25,0.9144746376811593,0.09265398550724635,0.9001358695652174
d100_delay_median_cap1,d200_delay_median_cap1,borough_most_efficient,borough,most_efficient,Bronx,Root/Sewer/Sidewalk,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,25,0.1373601147776183,candidate_d200_delay_median_cap1_borough_baba7ce105c151d8,9c8b7220c2ff73efa9211acecb1fbbb7373ba1b3b3f9ff761deac1ab41716a83,25,0.12015303682448586,-0.01720707795313245,0.56025824964132
d100_delay_median_cap1,d200_delay_median_cap1,borough_most_efficient,borough,most_efficient,Brooklyn,Hazard,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,25,0.9892085393430685,candidate_d200_delay_median_cap1_borough_baba7ce105c151d8,9c8b7220c2ff73efa9211acecb1fbbb7373ba1b3b3f9ff761deac1ab41716a83,25,0.9936529837875131,0.004444444444444584,0.8565022421524664
d100_delay_median_cap1,d200_delay_median_cap1,borough_most_efficient,borough,most_efficient,Brooklyn,Illegal Tree Damage,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,25,0.9978394663223585,candidate_d200_delay_median_cap1_borough_baba7ce105c151d8,9c8b7220c2ff73efa9211acecb1fbbb7373ba1b3b3f9ff761deac1ab41716a83,25,0.9994835377663008,0.0016440714439422965,0.9122014202711428
d100_delay_median_cap1,d200_delay_median_cap1,borough_most_efficient,borough,most_efficient,Brooklyn,Other,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,25,1.0,candidate_d200_delay_median_cap1_borough_baba7ce105c151d8,9c8b7220c2ff73efa9211acecb1fbbb7373ba1b3b3f9ff761deac1ab41716a83,25,0.9994160583941606,-0.0005839416058394109,0.7226277372262774
d100_delay_median_cap1,d200_delay_median_cap1,borough_most_efficient,borough,most_efficient,Brooklyn,Prune,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,25,0.17518456479930514,candidate_d200_delay_median_cap1_borough_baba7ce105c151d8,9c8b7220c2ff73efa9211acecb1fbbb7373ba1b3b3f9ff761deac1ab41716a83,25,0.1096544450648303,-0.06553011973447484,0.1714126186487995
d100_delay_median_cap1,d200_delay_median_cap1,borough_most_efficient,borough,most_efficient,Brooklyn,Remove Tree,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,25,0.9384489950701554,candidate_d200_delay_median_cap1_borough_baba7ce105c151d8,9c8b7220c2ff73efa9211acecb1fbbb7373ba1b3b3f9ff761deac1ab41716a83,25,0.9723701175578309,0.033921122487675426,0.9354379977246872
d100_delay_median_cap1,d200_delay_median_cap1,borough_most_efficient,borough,most_efficient,Brooklyn,Root/Sewer/Sidewalk,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,25,0.2922788147210798,candidate_d200_delay_median_cap1_borough_baba7ce105c151d8,9c8b7220c2ff73efa9211acecb1fbbb7373ba1b3b3f9ff761deac1ab41716a83,25,0.18420752926289144,-0.10807128545818837,0.6567541917114837
d100_delay_median_cap1,d200_delay_median_cap1,borough_most_efficient,borough,most_efficient,Manhattan,Hazard,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,25,0.9657699805068226,candidate_d200_delay_median_cap1_borough_baba7ce105c151d8,9c8b7220c2ff73efa9211acecb1fbbb7373ba1b3b3f9ff761deac1ab41716a83,25,0.9998960363872645,0.03412605588044193,0.7309941520467836
d100_delay_median_cap1,d200_delay_median_cap1,borough_most_efficient,borough,most_efficient,Manhattan,Illegal Tree Damage,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,25,0.9965704726056043,candidate_d200_delay_median_cap1_borough_baba7ce105c151d8,9c8b7220c2ff73efa9211acecb1fbbb7373ba1b3b3f9ff761deac1ab41716a83,25,0.9885403596821414,-0.008030112923462895,0.4993726474278545
d100_delay_median_cap1,d200_delay_median_cap1,borough_most_efficient,borough,most_efficient,Manhattan,Other,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,25,1.0,candidate_d200_delay_median_cap1_borough_baba7ce105c151d8,9c8b7220c2ff73efa9211acecb1fbbb7373ba1b3b3f9ff761deac1ab41716a83,25,0.9994968553459119,-0.0005031446540880724,0.9245283018867924
d100_delay_median_cap1,d200_delay_median_cap1,borough_most_efficient,borough,most_efficient,Manhattan,Prune,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,25,0.11211364192995342,candidate_d200_delay_median_cap1_borough_baba7ce105c151d8,9c8b7220c2ff73efa9211acecb1fbbb7373ba1b3b3f9ff761deac1ab41716a83,25,0.07333823169238302,-0.038775410237570404,0.861131520940485
d100_delay_median_cap1,d200_delay_median_cap1,borough_most_efficient,borough,most_efficient,Manhattan,Remove Tree,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,25,0.5542588866532528,candidate_d200_delay_median_cap1_borough_baba7ce105c151d8,9c8b7220c2ff73efa9211acecb1fbbb7373ba1b3b3f9ff761deac1ab41716a83,25,0.7267069081153588,0.17244802146210592,0.6284372904091214
d100_delay_median_cap1,d200_delay_median_cap1,borough_most_efficient,borough,most_efficient,Manhattan,Root/Sewer/Sidewalk,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,25,0.9874481074481075,candidate_d200_delay_median_cap1_borough_baba7ce105c151d8,9c8b7220c2ff73efa9211acecb1fbbb7373ba1b3b3f9ff761deac1ab41716a83,25,0.24390720390720386,-0.7435409035409036,0.1538461538461538
