setting_id,budget_group,policy_id,efficiency_ratio_historical,equity_ratio_historical
d100_delay_median_cap1,borough,search_arm0_index76,1.4829212394368851,2.7885375533225667
d100_delay_median_cap1,borough,search_arm0_index77,1.8084769402129188,2.501781334521712
d100_delay_median_cap1,borough,search_arm0_index78,2.046356812723685,2.2732486580460582
d100_delay_median_cap1,borough,search_arm0_index79,1.933619651814347,3.023799881355664
d100_delay_median_cap1,borough,search_arm0_index80,1.8427946775571469,2.549971514654331
d100_delay_median_cap1,borough,search_arm0_index81,1.8968234759554066,2.407918653826299
d100_delay_median_cap1,borough,search_arm0_index82,1.7947866552152267,2.1320391842162723
d100_delay_median_cap1,borough,search_arm0_index83,1.7139385714129685,2.3677921320076414
d100_delay_median_cap1,borough,search_arm0_index84,2.3542390324467073,2.967071263893637
d100_delay_median_cap1,borough,search_arm0_index85,1.9785787343544052,2.3703294609711367
d100_delay_median_cap1,borough,search_arm0_index86,1.9116844437238911,2.735441381454239
d100_delay_median_cap1,borough,search_arm0_index87,1.9631437735109487,2.3682297561461825
d100_delay_median_cap1,borough,search_arm0_index88,1.716601831069173,2.305240082686526
d100_delay_median_cap1,borough,search_arm0_index89,1.9980732639612537,2.407481046156515
d100_delay_median_cap1,borough,search_arm0_index90,1.667141671617088,2.2749734790180187
d100_delay_median_cap1,borough,search_arm0_index91,1.739161216534005,2.2721325003368147
d100_delay_median_cap1,borough,search_arm0_index92,1.7117631469973245,2.1747531262868733
d100_delay_median_cap1,borough,search_arm0_index93,1.9805606893633683,2.5640697288120724
d100_delay_median_cap1,borough,search_arm0_index94,1.9816301102873068,2.442147637508309
d100_delay_median_cap1,borough,search_arm0_index95,1.681651755311588,3.0817940977660947
d100_delay_median_cap1,borough,search_arm0_index96,1.9570845877885605,3.0109229824000914
d100_delay_median_cap1,borough,search_arm0_index97,2.0563169344766425,2.26171743707351
d100_delay_median_cap1,borough,search_arm0_index98,2.0682678219124866,2.2095150508950856
d100_delay_median_cap1,borough,search_arm0_index99,1.6836740282892468,2.3897289342072874
d100_delay_median_cap1,borough,search_arm0_index100,1.9071799968305938,2.536543526162912
d100_delay_median_cap1,borough,search_arm0_index101,1.7199783492914127,2.3732202620914866
d100_delay_median_cap1,borough,search_arm0_index102,1.710382550935338,2.4358901912322355
d100_delay_median_cap1,borough,search_arm0_index103,1.7614250993038065,2.6209468702931606
d100_delay_median_cap1,borough,search_arm0_index104,1.8243002609461763,2.142522014903736
d100_delay_median_cap1,borough,search_arm0_index105,1.6836590460833571,2.136163555878159
d100_delay_median_cap1,borough,search_arm0_index106,1.723855492442167,2.2689426290024852
d100_delay_median_cap1,borough,search_arm0_index107,1.818983161340452,2.1795076043177466
d100_delay_median_cap1,borough,search_arm0_index108,1.7176008478060836,2.154420021687265
d100_delay_median_cap1,borough,search_arm0_index109,1.4484095048575845,3.374915313024818
d100_delay_median_cap1,borough,search_arm0_index110,1.6913786581197445,2.1748704902094476
d100_delay_median_cap1,borough,search_arm0_index111,1.7018306753316597,2.259616068574501
d100_delay_median_cap1,borough,search_arm0_index112,1.6612680378755038,2.4169804264481622
d100_delay_median_cap1,borough,search_arm0_index113,1.7081425690471608,2.384702967672795
d100_delay_median_cap1,borough,search_arm0_index114,1.7958136468569017,2.153202868595988
d100_delay_median_cap1,borough,search_arm0_index115,2.2175919762288823,2.554016998755754
d100_delay_median_cap1,borough,search_arm0_index116,1.7349567385759768,2.386358417857592
d100_delay_median_cap1,borough,search_arm0_index117,1.7977915416474668,2.2567544505614596
d100_delay_median_cap1,borough,search_arm0_index118,1.6871185145674745,3.15836841702854
d100_delay_median_cap1,borough,search_arm0_index119,1.7049444162191592,3.10071102168442
d100_delay_median_cap1,borough,search_arm0_index120,2.349257834709077,2.7761424597499764
d100_delay_median_cap1,borough,search_arm0_index121,1.7070160614525425,2.3254593965224175
d100_delay_median_cap1,borough,search_arm0_index122,1.6563183474326448,2.2274532333681036
d100_delay_median_cap1,borough,search_arm0_index123,1.683559124108574,2.374798122389459
d100_delay_median_cap1,borough,search_arm0_index124,1.92695797028383,3.013768779144877
d100_delay_median_cap1,borough,search_arm0_index125,1.810842423451789,2.884866646644077
d100_delay_median_cap1,borough,search_arm0_index126,2.3131933102055178,2.549740375530719
d100_delay_median_cap1,borough,search_arm0_index127,1.7128126728511102,2.1992168067944586
d100_delay_median_cap1,borough,search_arm0_index128,1.6774400095626265,2.1457719532905495
d100_delay_median_cap1,borough,search_arm0_index129,1.704284143503222,2.1226530800666463
d100_delay_median_cap1,borough,search_arm0_index130,1.6831479457913747,2.1716929760019412
d100_delay_median_cap1,borough,search_arm0_index131,1.4535291154404135,3.199420878696524
d100_delay_median_cap1,borough,search_arm0_index132,1.6854391270335554,2.1596676849474252
d100_delay_median_cap1,borough,search_arm0_index133,1.646377268103976,2.1965665725769203
d100_delay_median_cap1,borough,search_arm0_index134,1.7138019450638649,2.1614959284975392
d100_delay_median_cap1,borough,search_arm0_index135,1.670989540593191,2.112807659310958
d100_delay_median_cap1,borough,search_arm0_index136,1.688667772101728,2.1730781691294077
d100_delay_median_cap1,borough,search_arm0_index137,1.6646665624814627,2.216188915667888
d100_delay_median_cap1,borough,search_arm0_index138,1.690462429235976,2.175482450191439
d100_delay_median_cap1,borough,search_arm0_index139,1.6766999941573457,2.1329696172290267
d100_delay_median_cap1,borough,search_arm0_index140,1.6783123880876925,2.204009720656665
d100_delay_median_cap1,borough,search_arm0_index141,1.7473652532274981,2.2381685813824848
d100_delay_median_cap1,borough,search_arm0_index142,1.694282972942258,2.1884768862495516
d100_delay_median_cap1,borough,search_arm0_index143,1.6715349497306387,2.2203553861518848
d100_delay_median_cap1,borough,search_arm0_index144,1.5972287304139632,2.1119866408701706
d100_delay_median_cap1,borough,search_arm0_index145,1.7616698086666742,2.2060093777870886
d100_delay_median_cap1,borough,search_arm0_index146,1.7566033463426791,2.1785203993336477
d100_delay_median_cap1,borough,search_arm0_index147,1.6848160053159629,2.1516229181741595
d100_delay_median_cap1,borough,search_arm0_index148,1.7314634078704163,2.169122904510638
d100_delay_median_cap1,borough,search_arm0_index149,1.4821705456572167,2.640833401387564
d100_delay_median_cap1,borough,search_arm0_index150,1.724676468602311,2.1884455011307122
d100_delay_median_cap1,borough,search_arm0_index151,1.6862739079362528,2.134476334915222
d100_delay_median_cap1,borough,search_arm0_index152,1.695270133841445,2.1516341323366395
d100_delay_median_cap1,borough,search_arm0_index153,1.6678950045387146,2.255547503183829
