weight_id,weight_label,weight_family,power_exponent,Hazard,Illegal Tree Damage,Remove Tree,Other,Prune,Root/Sewer/Sidewalk
assigned,Assigned,named,1.0,10.0,8.0,8.0,6.0,4.0,4.0
equal,Equal,named,0.0,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667
power_0p25,Ordered power $\eta=0.25$,named,0.25,7.459713241907281,7.054961204103688,7.054961204103688,6.565381177315692,5.932491586284822,5.932491586284822
power_0p50,Ordered power $\eta=0.5$,named,0.5,8.28438278752481,7.409777225813869,7.409777225813869,6.417055313938193,5.2395037234546304,5.2395037234546304
power_0p75,Ordered power $\eta=0.75$,named,0.75,9.133520315323704,7.726017532379106,7.726017532379106,6.226609599777079,4.5939175100705,4.5939175100705
power_1p25,Ordered power $\eta=1.25$,named,1.25,10.877042594524774,8.22949741163355,8.22949741163355,5.74380770942575,3.4600774363911877,3.4600774363911877
power_1p50,Ordered power $\eta=1.5$,named,1.5,11.758460297413002,8.41366929143932,8.41366929143932,5.4648385090706,2.974681305318878,2.974681305318878
power_2p00,Ordered power $\eta=2$,named,2.0,13.513513513513514,8.64864864864865,8.64864864864865,4.864864864864865,2.1621621621621623,2.1621621621621623
