period_primary,policy_id,budget_group,efficiency_mean_primary,allrequest_equity_mean_primary,efficiency_std_primary,equity_std_primary,n_seeds_primary,efficiency_sem_primary,allrequest_equity_sem_primary,objective_primary,total_requests_primary,inspected_requests_primary,request_weighted_frac_inspected_primary,min_frac_inspected_primary,mean_frac_inspected_primary,low_service_cells_primary,period_capacity125,efficiency_mean_capacity125,allrequest_equity_mean_capacity125,efficiency_std_capacity125,equity_std_capacity125,n_seeds_capacity125,efficiency_sem_capacity125,allrequest_equity_sem_capacity125,objective_capacity125,total_requests_capacity125,inspected_requests_capacity125,request_weighted_frac_inspected_capacity125,min_frac_inspected_capacity125,mean_frac_inspected_capacity125,low_service_cells_capacity125,efficiency_pct_primary,equity_pct_primary,efficiency_pct_capacity125,equity_pct_capacity125,request_weighted_frac_inspected_change,minimum_service_fraction_change,mean_service_fraction_change,coverage_interpretation
2019,candidate_d100_delay_median_cap1_borough_3a64bdaa3e1c3693,borough,13202512.746666668,886.6314844511385,42063.10727119561,20.47694600898305,25,8412.62145423912,4.09538920179661,delay_median,75076.0,47997.86666666667,0.6393237075319232,0.05464806798140127,0.6979528390524934,3.6,2019,7749719.573333334,492.07898845963587,20480.880210106458,13.306056410291648,25,4096.176042021291,2.6612112820583294,delay_median,75076.0,58167.90666666666,0.7747869714245119,0.2803681025903248,0.8104267754123446,0.0,100.53459564508134,92.66042107785209,59.012624234318395,51.42637846033557,0.13546326389258867,0.22572003460892354,0.11247393635985126,fixed_support_no_global_coverage_certificate_no_reoptimization
2019,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,borough,13272813.813333333,518.3786602065968,66401.5116325924,14.459989188842536,25,13280.30232651848,2.8919978377685074,delay_median,75076.0,47969.6,0.6389472001704939,0.07191705413927632,0.7091852563166826,1.6,2019,7781505.013333334,456.70126425677097,20523.34746098859,12.239769290882778,25,4104.669492197718,2.4479538581765556,delay_median,75076.0,58085.96,0.7736954552719911,0.31159605492938824,0.8178867030098157,0.0,101.06992474843975,54.1749145782372,59.2546642473915,47.72910977666947,0.13474825510149724,0.23967900079011192,0.10870144669313309,fixed_support_no_global_coverage_certificate_no_reoptimization
2019,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,borough,14816115.76,494.3805360292164,34150.3356812738,17.368539172698853,25,6830.06713625476,3.4737078345397707,delay_median,75076.0,47859.38666666667,0.6374791766565435,0.07740051740051734,0.7288636556406165,1.72,2019,8457334.933333334,550.8719738956033,27749.207721756127,8.843032398652154,25,5549.841544351226,1.7686064797304308,delay_median,75076.0,57987.64,0.7723858490063402,0.2453855756895119,0.8319928095595677,0.0,112.8218722862729,51.66690947087154,64.40097912212639,57.570738188654005,0.1349066723497967,0.16798505828899454,0.10312915391895117,fixed_support_no_global_coverage_certificate_no_reoptimization
2019,candidate_d100_delay_median_cap1_borough_ae9ecb22e3928308,borough,13504154.986666668,517.331329094261,23863.738270935304,11.017928421166085,25,4772.747654187061,2.203585684233217,delay_median,75076.0,48001.38666666666,0.6393705933542898,0.10444337555448663,0.7107889338712066,0.12,2019,7900203.36,463.20910945850034,33471.23743713904,12.698384494369785,25,6694.247487427808,2.539676898873957,delay_median,75076.0,58179.78666666667,0.7749452110749996,0.32527666395130267,0.8208374088761304,0.0,102.83154329510599,54.06545969920474,60.158529330868575,48.40923414319251,0.13557461772070978,0.22083328839681604,0.11004847500492387,fixed_support_no_global_coverage_certificate_no_reoptimization
2019,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,borough,13132308.0,956.8610568974235,60773.204963053984,19.5939406993677,25,12154.640992610797,3.91878813987354,delay_median,75076.0,47975.21333333333,0.6390219688493438,0.046259419592752885,0.700255137922431,2.12,2019,7700717.706666666,509.1200305368451,17018.453341920107,14.00551430316541,25,3403.6906683840216,2.8011028606330823,delay_median,75076.0,58214.13333333333,0.7754027030386986,0.28037411148522257,0.8134230440770877,0.0,100.0,100.0,58.63948444299864,53.20731018018881,0.1363807341893548,0.2341146918924697,0.11316790615465666,fixed_support_no_global_coverage_certificate_no_reoptimization
2019,candidate_d100_delay_median_cap1_borough_e4facaacd4b5abb0,borough,13232233.226666667,592.7143282676269,37596.746457283916,15.339398834509513,25,7519.349291456783,3.0678797669019024,delay_median,75076.0,48066.84,0.640242421013373,0.07881139436694988,0.7024567580147315,2.12,2019,7782846.24,457.91157509410965,22892.159472007945,17.890056315495364,25,4578.431894401589,3.578011263099073,delay_median,75076.0,58212.89333333333,0.775386186442183,0.27391482391482386,0.8110579910996931,0.0,100.76091138485837,61.94361490574974,59.264877430532394,47.85559740291513,0.13514376542881001,0.19510342954787396,0.10860123308496161,fixed_support_no_global_coverage_certificate_no_reoptimization
2019,candidate_d100_delay_median_cap1_city_434b2a9b9ba6f732,city,13181881.466666667,305.99808752329346,41514.11601603155,8.620999390220058,25,8302.82320320631,1.7241998780440118,delay_median,75076.0,48152.33333333333,0.6413811781838848,0.06384265939821492,0.7045497166432984,1.0,2019,7373361.8133333335,338.53697904029025,11077.364634310585,5.537041894250518,25,2215.4729268621168,1.1074083788501037,delay_median,75076.0,58552.73333333333,0.7799127994743104,0.2453401742290631,0.8376603651066356,0.0,100.37749241539771,31.979364748679156,56.1467322677273,35.379951624113566,0.1385316212904255,0.1814975148308482,0.1331106484633372,fixed_support_no_global_coverage_certificate_no_reoptimization
2019,candidate_d100_delay_median_cap1_city_8750ba64fb5a6a21,city,12547363.226666667,360.388376205901,36538.46818216713,7.699200866568828,25,7307.693636433427,1.5398401733137654,delay_median,75076.0,48206.44,0.6421018701049603,0.0626604671049115,0.7010802356784795,1.36,2019,7305258.1866666665,344.7353156563086,11847.323653888987,4.517059890678986,25,2369.4647307777973,0.9034119781357972,delay_median,75076.0,58631.72,0.7809648889125685,0.2448399337288226,0.8373690994476598,0.0,95.545758039384,37.66360576680204,55.62813624738825,36.02772974940547,0.1388630188076082,0.1821794666239111,0.13628886376918026,fixed_support_no_global_coverage_certificate_no_reoptimization
2019,candidate_d100_delay_median_cap1_city_90a5f1430078c07d,city,12510492.586666668,480.43707661873566,14827.12541046826,8.267118294245593,25,2965.425082093652,1.6534236588491187,delay_median,75076.0,48210.53333333333,0.6421563926332428,0.06306664528886746,0.7038230855040343,1.12,2019,7310897.44,365.94732798661926,10779.600314998192,8.120730948767005,25,2155.9200629996385,1.6241461897534009,delay_median,75076.0,58603.38666666666,0.7805874935620792,0.24520121853455185,0.8367228877367913,0.0,95.26499520622474,50.20970110086098,55.671078077060024,38.24456281805282,0.13843110092883648,0.18213457324568438,0.132899802232757,fixed_support_no_global_coverage_certificate_no_reoptimization
2019,candidate_d100_delay_median_cap1_city_9df8d9895369c391,city,12466960.16,491.0409867765767,35849.04960116335,8.337147269457645,25,7169.80992023267,1.667429453891529,delay_median,75076.0,48228.10666666666,0.6423904665494521,0.06491582491582487,0.7033320435070542,1.0,2019,7315980.586666666,368.358015378313,8919.21463142794,6.301899003732655,25,1783.842926285588,1.260379800746531,delay_median,75076.0,58667.90666666666,0.7814468893743229,0.25012238790016567,0.8359518410259784,0.0,94.93350414869953,51.31789858485345,55.70978526140772,38.49649985471207,0.13905642282487085,0.1852065629843408,0.13261979751892417,fixed_support_no_global_coverage_certificate_no_reoptimization
