display_role,policy_label,metric,draw_count,minimum,maximum,mean,share_below_historical,share_improves_both,p01,p05,p25,p50,p75,p95,p99
most_efficient,Most Efficient,efficiency,10000,0.15967477119161305,1.0132918455166255,0.6404773725997653,0.9993,0.9993,0.2903355705208235,0.36647545781443364,0.5001308512075474,0.642921037680995,0.781856758904446,0.915937214434947,0.9668555373238712
most_efficient,Most Efficient,equity,10000,0.40975678259369497,0.9303873617651858,0.7982196367607165,1.0,0.9993,0.637897121707728,0.697557378914513,0.7665686460310757,0.807899542383316,0.8385339626733875,0.8686908787156914,0.892379684223168
balanced,Balanced,efficiency,10000,0.15517388533852575,1.0181763998138313,0.6513820640881278,0.9986,0.9986,0.2975177482096427,0.380568571223321,0.5144153390758375,0.6538101578827016,0.7910596595210351,0.9223754602405515,0.9724887114595847
balanced,Balanced,equity,10000,0.1120658454089116,0.5842158316655733,0.3485428517210823,1.0,0.9986,0.13016210765844013,0.15677174371198288,0.2514618595309426,0.351976686348724,0.44622532442267154,0.5319942968015099,0.5626932330377328
most_equitable,Most Equitable,efficiency,10000,0.4017343656215815,1.0209034946667948,0.8114998404932713,0.994,0.994,0.5487829698542367,0.6367433212643557,0.7385779706521731,0.817184254487759,0.8934300782658802,0.9664439349070444,0.9940453835356482
most_equitable,Most Equitable,equity,10000,0.13017880147286895,0.5477425140028657,0.338331355791095,1.0,0.994,0.14794316775345334,0.17052290629866668,0.2527723622590775,0.3410504455445962,0.42405610499912166,0.5003498247698832,0.5274713321176125
