setting_id,budget_group,display_role,policy_id,selection_only,author_selected,status,inference_support
d100_delay_median_cap1,borough,most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,True,False,deterministic_endpoint,full_locked_union_of_endpoints_nondominated_and_gamma_winners
d100_delay_median_cap1,borough,balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,True,True,author_selected_paper_role,full_locked_union_of_endpoints_nondominated_and_gamma_winners
d100_delay_median_cap1,borough,most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,True,False,deterministic_endpoint,full_locked_union_of_endpoints_nondominated_and_gamma_winners
