budget_group,locked_support_policy_count,primary_nondominated_count,capacity125_nondominated_count,capacity125_efficiency_span_pct_points,capacity125_equity_span_pct_points,capacity125_efficiency_endpoint_policy_id,capacity125_equity_endpoint_policy_id,capacity125_endpoints_coincide,mean_request_weighted_inspection_change,minimum_request_weighted_inspection_change,maximum_request_weighted_inspection_change,minimum_cell_service_at_capacity125,mean_cell_service_at_capacity125,interpretation,full_capacity125_BO_authorized
borough,6,6,3,0.6151798043928594,5.478200403519345,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,False,0.1353695514471262,0.13474825510149724,0.1363807341893548,0.2453855756895119,0.8176041220057733,descriptive_fixed_support_diagnostic_not_global_coverage_or_BO_gate,False
city,6,6,2,0.5185960203390536,0.6477781252919002,candidate_d100_delay_median_cap1_city_8750ba64fb5a6a21,candidate_d100_delay_median_cap1_city_434b2a9b9ba6f732,False,0.13857705673066104,0.13791606727405126,0.13905642282487085,0.24430762652984872,0.8397110289925159,descriptive_fixed_support_diagnostic_not_global_coverage_or_BO_gate,False
