setting_id,policy_id,budget_group,n_seeds,objective,efficiency_ratio_historical,equity_ratio_historical
d200_delay_median_cap1,candidate_d200_delay_median_cap1_city_f0b6971bf5a72a50,city,25,delay_median,0.8443673922458206,0.5967219324433884
d200_delay_75_cap1,candidate_d200_delay_75_cap1_borough_0f626e6a3a44863c,borough,25,delay_75,0.8086133141920523,0.14517778089514252
d200_delay_75_cap1,candidate_d200_delay_75_cap1_borough_2894623d5999e4bc,borough,25,delay_75,0.7803418439511314,0.1782512785579738
d200_delay_75_cap1,candidate_d200_delay_75_cap1_borough_511dc3bd7bf02831,borough,25,delay_75,0.600568551617544,0.3009347040585089
d200_delay_75_cap1,candidate_d200_delay_75_cap1_borough_6edf8f3414a9e53f,borough,25,delay_75,0.6021668916110766,0.22544795027047176
d200_delay_75_cap1,candidate_d200_delay_75_cap1_borough_86c0e91ea2465303,borough,25,delay_75,0.6007625447820869,0.2531223752834522
d200_delay_75_cap1,candidate_d200_delay_75_cap1_borough_c462621d0af8cf4d,borough,25,delay_75,0.5994943750080056,0.3091886048087091
d200_delay_75_cap1,candidate_d200_delay_75_cap1_borough_c90f33b9007e64f6,borough,25,delay_75,0.7951301204915563,0.16134950679150006
d200_delay_75_cap1,candidate_d200_delay_75_cap1_borough_ddc0ec4eb88785c7,borough,25,delay_75,0.6130844378240171,0.19699074059285304
d200_delay_75_cap1,candidate_d200_delay_75_cap1_city_0054e798816c0921,city,25,delay_75,0.5674590820946079,0.21497167947305793
d200_delay_75_cap1,candidate_d200_delay_75_cap1_city_2d4b8a41d467c573,city,25,delay_75,0.5767892078367965,0.16896090807758052
d200_delay_75_cap1,candidate_d200_delay_75_cap1_city_7deb642fa5e4be7d,city,25,delay_75,0.570334597256892,0.2114900022428157
d200_delay_75_cap1,candidate_d200_delay_75_cap1_city_a3cefa22eb0d84c5,city,25,delay_75,0.5732070615254237,0.17330841723230916
d200_delay_75_cap1,candidate_d200_delay_75_cap1_city_b4028a3b92850499,city,25,delay_75,0.5883559284923623,0.16073428807403659
d200_delay_75_cap1,candidate_d200_delay_75_cap1_city_ddca190f8cccebe8,city,25,delay_75,0.5644634814597967,0.2196487373994366
d200_delay_75_cap1,candidate_d200_delay_75_cap1_city_ffa5cb3380557bea,city,25,delay_75,0.5629385251406888,0.26367384509776653
